dataset,fold,model,precision,recall,f1,accuracy,support_pos,support_neg
ecommerce,1,nb,0.886257562662057,0.8525108081143997,0.8690566997203153,0.8769414575866189,6014,6541
ecommerce,1,svm,0.900884365092608,0.8977386099102095,0.8993087365703339,0.9037037037037037,6014,6541
ecommerce,2,nb,0.886484629915851,0.8583305620219488,0.8721804511278195,0.8794902429311031,6014,6541
ecommerce,2,svm,0.9002009377093101,0.8939142001995344,0.8970465543133656,0.9017124651533254,6014,6541
ecommerce,3,nb,0.8895958727429063,0.8601596275357499,0.8746301462507398,0.8818797291915571,6014,6541
ecommerce,3,svm,0.8984696396248149,0.9078816095776522,0.9031511041270366,0.9067303863002788,6014,6541
ecommerce,4,nb,0.8808620689655172,0.8495177918190888,0.8649060436769934,0.8728793309438471,6014,6541
ecommerce,4,svm,0.8963747723886774,0.9003990688393748,0.8983824139361261,0.9024293110314616,6014,6541
ecommerce,5,nb,0.8872802481902792,0.8560026604589291,0.8713608666215301,0.8789230524135734,6014,6540
ecommerce,5,svm,0.900363516192994,0.906052544063851,0.903199071771921,0.9069619244862195,6014,6540
