,precision,recall,f1-score,support
书籍,0.6275832981864192,0.2976,0.40374440374440373,5000.0
平板,0.2067327956838171,0.7357,0.3227674556342817,10000.0
手机,0.8209737827715355,0.4384,0.5715775749674055,5000.0
水果,0.7656276907180989,0.4446,0.5625355855000949,10000.0
洗发水,0.6337548638132295,0.3909,0.48354774863928746,10000.0
热水器,0.8969864092968288,0.9108,0.9038404286990176,5000.0
蒙牛,0.8768867924528302,0.3718,0.522191011235955,5000.0
衣服,0.7121234386480529,0.4846,0.5767331151443023,10000.0
计算机,0.7224938875305623,0.3546,0.4757177354440569,5000.0
酒店,0.8377377545867699,0.4977,0.6244275766890408,10000.0
accuracy,0.49868,0.49868,0.49868,0.49868
macro avg,0.7100900713688144,0.49267000000000005,0.5447082635697846,75000.0
weighted avg,0.6837918171425409,0.49868,0.5344729411536568,75000.0
